id;application_value_id;jhi_key;value_date;value_int;value_long;value_string
1;14928;deprave regarding;2024-10-04T13:01:25;18229;17172;catch
2;21281;micromanage lovely overdue;2024-10-04T03:50:07;20184;27378;maestro tremendously
3;10027;out enthusiastically;2024-10-04T12:33:38;5788;3759;incidentally
4;7567;willow knowingly;2024-10-04T01:46:23;4573;30735;marksman
5;13369;gee;2024-10-04T16:52:01;28878;18229;for unnecessarily than
6;4534;postbox;2024-10-04T14:47:28;19429;21344;dependency wombat
7;25939;likewise home;2024-10-03T20:28:21;10135;21354;showboat now
8;1406;whoa indelible;2024-10-04T07:37:14;19894;30296;apprehensive
9;18638;browse mixture;2024-10-04T02:24:38;6760;29817;really
10;8940;handful obnoxiously ownership;2024-10-03T20:20:28;20079;14175;wherever shred deplore
